carat,cut,color,clarity,depth,table,price
0.32,4,3,4,61.9,58.0,505
1.72,4,3,4,61.3,59.0,13609
0.71,3,6,5,62.1,60.0,3192
0.39,4,5,7,59.7,58.0,1290
0.42,5,5,5,61.4,57.0,1103
0.31,5,5,7,61.9,55.0,801
1.05,5,7,2,61.9,56.0,5110
1.29,5,4,4,62.5,57.0,8582
0.34,3,5,3,60.9,60.0,551
0.4,5,6,2,62.6,54.0,644
2.01,3,3,4,63.2,58.0,18507
0.33,5,5,8,61.3,55.0,971
1.01,5,7,4,62.1,58.0,8119
1.01,3,5,3,59.7,61.0,4899
0.71,5,2,5,61.6,56.0,2965
0.75,2,6,4,59.7,65.0,2717
0.83,2,4,2,63.7,56.0,2614
1.53,5,5,3,61.6,56.0,11999
1.54,5,3,6,62.6,56.0,12061
1.21,3,6,5,60.0,58.0,10430
1.51,4,2,5,61.1,61.0,10401
0.9,2,4,2,62.7,59.0,3489
0.95,4,2,3,60.0,60.0,3878
1.62,2,2,5,59.6,65.0,9526
0.58,5,6,3,62.2,58.0,1580
1.7,5,5,4,62.3,56.0,17892
0.36,4,2,4,62.7,59.0,648
0.82,3,2,5,63.6,58.9,2583
0.52,2,5,4,63.6,56.0,1605
1.54,4,7,3,63.0,59.0,13316
0.3,5,4,5,62.3,56.0,605
0.9,3,5,4,62.7,58.0,5160
0.44,5,4,2,61.1,55.0,694
2.1,1,4,1,67.4,59.0,6597
0.4,3,1,3,58.9,59.0,603
1.6,5,4,7,60.8,56.0,16339
0.26,3,6,7,59.9,58.0,597
0.39,5,6,5,62.3,57.0,1026
2.11,3,4,1,63.2,57.0,7834
0.73,5,5,4,62.5,55.0,2801
1.31,5,3,5,61.5,55.0,8583
0.97,3,5,2,62.9,57.0,4223
0.72,5,5,3,61.2,55.0,2737
0.7,2,3,6,58.9,61.5,2699
0.31,3,3,4,60.5,63.0,628
0.42,2,7,2,63.1,56.0,653
0.62,5,3,5,61.4,56.0,1878
1.7,5,7,3,60.0,54.0,12190
0.31,5,5,8,62.0,54.0,914
1.55,5,4,2,60.7,55.0,9704
0.27,3,5,6,62.5,59.0,544
0.51,5,7,4,60.9,56.0,1882
0.41,4,7,3,61.4,58.0,791
1.01,1,5,4,64.5,58.0,5226
1.54,2,2,5,63.6,60.0,10164
1.2,3,4,2,62.6,60.0,5116
1.01,3,5,2,62.5,58.0,4690
1.08,4,2,2,60.1,59.0,3750
0.31,5,3,6,62.4,57.0,625
0.9,3,7,4,63.3,59.0,4981
0.84,2,4,4,63.6,59.0,3370
0.74,3,6,5,63.1,58.0,2849
0.6,5,5,6,60.9,57.0,2698
1.02,5,3,2,58.8,57.0,3142
0.96,2,4,3,56.6,63.0,3522
0.3,5,5,4,63.0,55.0,673
0.41,4,4,5,61.7,57.0,961
0.41,5,6,6,61.1,56.0,1187
0.55,5,2,3,61.7,55.0,1134
0.97,2,5,2,59.1,62.0,4182
1.6,5,3,3,62.7,56.0,9548
1.01,4,5,3,60.3,58.0,4829
0.52,3,3,3,62.6,55.0,1111
0.72,5,7,3,62.2,56.0,2804
0.91,4,3,3,63.0,57.0,3033
0.93,3,6,2,60.5,57.0,4325
0.3,5,5,7,58.0,60.0,802
0.3,5,6,4,62.0,56.0,844
1.01,2,5,2,64.9,60.0,4140
1.0,4,4,3,61.8,59.0,4256
0.32,5,4,6,61.4,56.0,692
0.59,5,7,8,60.9,57.0,4208
0.3,4,4,2,62.3,59.0,506
0.52,5,6,4,62.0,55.0,1815
0.34,5,6,2,62.0,56.0,612
0.3,5,6,5,60.6,56.0,735
1.0,4,7,2,62.4,58.0,4730
1.08,3,4,6,63.1,56.0,7862
0.4,3,6,3,62.8,59.0,707
1.7,4,4,3,62.4,59.0,9777
0.76,3,1,4,61.2,57.0,2206
0.33,5,4,8,61.3,57.0,1052
0.5,4,7,3,61.3,60.0,1279
0.3,5,4,3,62.3,58.0,477
0.31,5,6,7,61.5,56.0,1105
2.04,3,2,2,62.5,52.0,14477
0.71,3,1,4,62.6,54.0,1902
0.65,5,1,3,62.1,54.0,1214
1.05,5,2,2,61.8,59.0,4723
0.51,4,6,4,59.3,58.0,1662
1.22,4,4,4,60.9,57.0,8067
1.3,5,3,5,62.2,57.0,5962
0.72,5,4,2,61.3,56.0,2451
0.52,5,4,3,61.2,55.0,1413
1.37,5,3,6,61.3,56.0,9621
1.01,5,7,2,61.3,54.0,4916
0.7,4,4,3,59.9,58.0,2016
0.4,4,5,6,59.4,59.0,1008
0.54,5,3,5,61.0,56.0,1560
0.34,5,3,7,61.8,57.0,775
0.5,5,7,4,62.0,56.0,1628
0.3,5,6,4,61.2,55.0,844
0.24,3,6,5,62.5,55.0,412
0.3,5,3,4,60.7,57.0,473
0.36,5,4,6,62.3,56.0,821
2.01,2,4,2,63.0,60.0,14745
0.4,5,1,5,62.2,54.3,658
0.31,5,6,3,61.6,54.0,516
0.75,5,6,3,61.1,57.0,2993
1.0,5,7,3,59.9,56.0,5929
1.6,4,5,2,61.8,57.0,6899
0.34,5,4,3,61.8,54.0,540
0.3,4,5,4,61.1,59.0,605
0.31,5,2,3,62.2,56.0,537
2.04,3,2,4,60.3,59.0,17315
1.0,4,6,2,62.0,59.0,4077
1.22,5,3,4,61.9,55.0,4914
1.32,5,7,6,59.3,59.0,15802
0.41,5,6,5,60.9,57.0,1079
0.53,5,3,7,61.2,56.0,1842
0.3,5,3,3,62.0,56.0,450
0.3,5,5,8,61.4,57.0,886
0.41,5,6,2,61.2,56.0,760
0.39,3,4,6,62.1,55.0,875
0.91,5,6,2,61.5,56.0,3968
1.02,2,4,3,63.6,58.0,4964
0.72,5,2,4,61.8,56.0,2650
0.35,3,2,4,62.9,57.0,491
1.2,4,5,4,62.1,54.0,8796
1.24,5,4,7,62.3,56.0,10724
0.35,5,6,5,62.0,55.0,900
1.01,4,5,3,62.7,54.0,4276
1.2,5,2,3,62.4,57.0,5535
0.39,3,4,6,60.7,61.0,958
0.3,3,4,4,62.2,60.0,526
1.33,5,3,2,62.7,57.0,6480
0.67,3,7,3,60.2,60.0,2007
1.12,5,7,4,62.0,55.0,8430
0.38,5,3,4,62.8,56.0,898
0.32,5,7,3,59.6,57.0,756
0.4,5,5,5,61.6,55.0,917
0.34,3,6,5,62.3,53.0,784
0.42,4,7,3,63.0,59.0,942
0.91,4,4,2,61.3,60.0,3363
1.55,3,4,5,60.8,60.0,14386
0.42,3,7,5,58.4,61.0,912
0.5,3,4,7,63.3,56.0,2070
0.41,4,5,6,61.0,59.0,1115
0.23,3,6,6,62.4,59.0,530
0.43,4,6,4,61.6,59.0,1048
0.41,5,4,7,62.4,55.0,1068
0.52,5,3,2,61.0,55.0,1065
0.35,4,3,5,61.3,59.0,614
0.3,5,5,5,62.2,56.0,621
0.7,4,6,4,62.6,56.0,2822
1.2,5,3,4,62.2,55.0,6956
1.27,4,1,5,62.6,59.0,5518
0.83,4,6,3,58.4,59.0,3506
1.0,2,4,2,64.2,57.0,3906
0.37,4,3,6,61.3,58.0,746
0.3,5,4,5,62.9,57.0,776
0.77,5,4,2,61.2,57.0,2275
0.72,4,6,5,61.5,60.0,2961
2.07,4,5,2,60.7,59.0,18611
0.3,5,6,6,60.8,56.0,949
0.76,2,7,4,63.5,55.0,3443
0.7,4,5,2,61.5,58.0,2043
0.57,5,3,8,61.0,57.0,2210
0.36,4,1,3,61.6,60.0,527
0.4,5,4,8,61.1,58.0,1229
0.33,5,6,7,60.2,57.0,1052
0.46,3,7,4,63.2,56.0,1262
0.3,2,3,3,63.4,58.0,421
0.53,3,6,4,58.3,62.0,1607
2.37,5,1,3,61.9,55.0,18508
0.3,5,3,5,62.3,55.1,539
0.57,5,4,6,61.7,54.0,2095
0.71,3,4,3,63.3,57.0,2482
1.2,4,1,4,61.8,59.0,4611
0.9,3,6,5,62.3,56.0,5001
1.13,4,4,4,60.1,59.0,6561
0.37,4,5,4,60.6,58.0,957
2.02,3,2,4,58.8,57.0,14620
1.11,1,1,2,64.8,55.1,4056
0.4,5,2,4,62.2,55.0,667
0.71,1,4,2,64.8,58.0,2055
0.48,1,4,6,65.0,54.0,1367
0.53,5,4,6,62.3,54.0,1797
0.31,5,6,6,59.9,62.0,755
0.78,5,5,4,62.3,56.0,3531
0.81,5,5,2,62.1,57.0,2843
0.7,5,2,5,63.0,54.0,2142
1.01,3,6,4,62.9,58.0,6221
3.02,1,2,1,65.2,56.0,10577
0.61,4,3,5,59.6,61.0,1793
0.61,5,6,5,62.1,57.0,2324
0.41,5,5,3,61.4,56.0,824
0.35,5,7,4,61.3,56.0,829
1.09,5,3,3,61.9,57.0,5262
0.72,4,7,2,59.1,58.0,2043
2.06,1,1,5,64.6,58.0,14750
0.83,2,1,3,60.6,63.0,2159
1.28,5,1,4,62.8,57.0,5795
0.41,5,6,3,62.9,57.0,969
0.93,2,4,3,63.8,58.0,4375
0.3,4,5,8,61.6,58.0,1085
1.5,2,4,3,63.7,59.0,10428
1.36,3,1,2,62.6,58.0,5215
0.39,5,5,6,61.9,54.8,1036
1.47,5,2,4,62.3,57.0,7284
1.51,5,6,3,62.2,56.0,13254
1.03,3,3,3,63.3,57.0,4932
1.05,5,5,4,61.6,54.0,6810
0.9,3,5,2,62.0,61.0,3770
1.05,4,4,5,61.6,58.0,7063
0.51,2,6,3,63.9,56.0,1343
0.31,5,5,8,61.7,56.0,901
1.05,3,6,3,60.7,56.0,5770
1.0,3,3,3,62.4,58.0,4574
0.5,1,3,5,67.1,58.0,1134
0.71,3,1,3,62.8,57.0,1841
0.4,3,2,5,62.9,59.0,737
1.01,5,4,4,62.4,57.0,6340
1.24,4,6,5,59.9,61.0,10388
0.72,5,7,4,62.1,54.0,3450
0.77,4,5,2,61.6,58.0,2247
1.02,4,1,3,63.0,58.0,3856
1.7,3,2,3,61.8,58.0,9845
0.7,3,2,4,64.2,55.0,2034
1.23,4,4,4,61.1,57.0,8128
0.3,3,5,7,61.6,59.0,832
0.31,3,6,3,63.3,55.0,698
0.71,4,5,4,61.0,59.0,2571
0.54,5,5,6,61.0,54.0,2231
0.7,2,6,4,60.1,62.0,2606
1.53,4,2,3,62.6,57.0,9022
0.56,5,4,4,59.6,57.0,1662
0.9,3,6,2,63.7,56.0,3482
0.31,4,4,7,59.8,62.0,977
0.34,5,5,4,62.1,55.0,686
0.99,1,2,3,60.7,66.0,3337
0.3,5,7,4,62.0,56.0,710
1.05,3,2,2,62.3,59.0,3742
1.7,5,5,3,59.7,57.0,10853
1.53,5,5,5,61.5,59.0,15592
0.61,3,7,6,59.6,57.0,2763
0.31,4,7,8,60.2,59.0,1167
1.0,2,3,3,61.6,61.0,4405
0.81,5,7,3,61.9,57.0,3353
1.12,5,2,4,61.2,54.0,5392
0.3,3,3,5,60.4,61.0,526
0.69,3,5,6,61.5,60.0,2993
0.55,4,6,4,60.5,58.0,1786
0.52,4,6,4,60.9,57.0,1815
0.71,4,4,4,61.9,62.0,2694
0.9,3,6,2,60.7,61.0,3139
2.23,3,1,4,61.0,58.0,14732
2.04,4,3,2,62.7,56.0,15760
0.82,5,3,7,62.9,56.0,3420
0.53,5,4,4,60.9,56.0,1807
0.77,5,6,4,61.0,56.0,3303
1.52,4,5,5,61.0,58.0,15522
0.38,5,1,4,62.3,55.0,572
1.2,4,2,5,62.8,56.0,6021
1.5,2,1,5,64.1,55.0,8467
1.21,5,5,5,61.8,56.0,10504
0.4,5,4,8,61.5,57.0,1257
1.5,4,3,8,63.0,59.0,13107
1.06,5,3,3,62.2,57.0,5143
0.55,5,7,2,61.3,57.0,1368
1.72,3,6,2,61.0,57.0,11638
0.91,3,7,3,62.8,58.0,5033
0.45,2,5,5,57.6,62.5,1144
0.34,4,2,5,61.0,60.0,689
1.31,4,2,4,61.9,59.0,6438
0.3,5,7,6,61.4,55.0,1041
0.54,5,4,3,61.7,55.0,1187
1.09,4,5,3,62.7,58.0,5287
0.51,5,7,5,61.9,57.0,2177
1.01,3,7,3,61.6,60.0,5443
1.23,3,6,7,61.2,59.0,15878
0.31,2,3,6,63.7,55.0,802
1.02,5,4,4,62.4,57.0,5346
0.53,5,4,2,62.3,53.0,1113
0.71,2,6,2,57.5,58.0,1783
1.26,4,6,2,60.3,60.0,5058
1.01,4,6,2,60.4,60.0,4878
1.01,4,6,4,58.0,61.0,7240
0.71,4,6,4,61.3,59.0,2630
2.01,5,3,4,63.0,55.0,15395
0.7,1,4,5,65.6,60.0,2384
0.5,3,5,3,63.1,61.0,1106
1.01,2,4,2,62.4,60.0,4150
1.01,3,4,5,63.6,57.0,6905
0.72,5,6,7,61.6,56.0,4702
1.5,4,6,6,58.7,61.0,17667
1.02,1,3,3,56.9,58.0,4935
1.26,3,7,3,59.9,59.0,7785
1.06,5,7,2,62.3,55.0,5253
0.72,3,6,2,63.4,58.0,2608
0.9,4,5,4,61.9,55.0,4536
1.21,5,4,6,60.6,56.0,10256
1.53,3,7,2,62.9,56.0,9001
0.41,3,5,3,62.5,58.0,702
0.7,5,5,2,62.0,56.0,2355
1.2,5,4,5,61.7,55.0,9038
0.38,4,7,5,61.9,60.0,1140
0.31,4,4,3,61.7,55.0,593
0.42,3,6,4,62.8,59.0,958
0.31,5,5,8,61.4,56.0,1168
0.34,5,4,3,61.5,55.0,540
0.23,5,4,8,61.7,55.0,536
1.5,2,1,4,63.6,58.0,7308
1.01,5,4,4,63.0,57.0,6027
1.12,3,3,2,62.4,55.0,4538
1.7,5,1,4,62.2,56.0,9276
0.3,5,7,4,62.3,54.0,911
0.91,5,5,2,61.8,56.0,2718
1.51,4,3,5,62.1,58.0,10775
0.56,5,5,5,61.7,56.0,1915
0.41,2,7,5,60.2,62.0,986
0.33,5,2,8,62.2,56.0,891
0.33,5,3,4,62.2,57.0,668
0.62,4,4,1,58.9,60.0,933
0.74,5,5,6,61.4,56.0,3842
0.55,5,5,3,62.4,55.0,1410
1.03,5,4,3,60.9,57.0,5037
1.09,4,3,3,62.4,59.0,5219
0.24,4,7,7,61.5,60.0,710
1.02,5,1,4,61.1,58.0,4397
2.01,4,1,3,62.3,59.0,12048
1.01,4,5,6,60.4,59.0,9231
0.4,3,6,7,63.8,56.0,1142
1.05,3,7,3,61.6,61.0,5255
0.94,4,3,4,60.1,59.0,4548
2.02,3,2,2,61.9,60.0,14715
1.11,3,3,2,63.4,55.0,4028
1.01,4,7,7,59.3,59.0,11480
0.83,4,3,3,60.0,59.0,2825
0.71,5,3,5,61.2,56.0,2909
1.01,3,3,4,62.2,56.0,4821
1.59,4,3,3,61.0,58.0,8829
1.5,1,1,4,64.5,59.0,5846
0.41,2,5,3,63.9,56.0,969
1.17,4,2,3,62.6,58.0,4914
1.07,5,6,6,61.4,56.0,9863
0.41,3,3,6,62.0,56.0,873
1.75,5,1,4,62.1,56.0,9890
0.3,5,6,4,61.3,57.0,621
0.71,5,7,5,62.2,55.0,3192
1.01,3,4,8,60.0,61.0,7974
0.71,3,6,5,61.6,59.0,3464
0.57,5,6,2,58.8,57.0,1357
0.9,2,5,3,63.6,55.0,4712
1.01,2,4,6,62.4,59.0,7332
0.8,5,5,4,61.2,58.0,3713
1.19,3,3,3,62.7,61.0,5595
0.91,3,4,3,63.0,57.0,3830
0.74,4,5,4,61.9,56.0,2805
0.3,5,4,7,61.7,57.0,1013
1.6,4,1,5,61.3,59.0,9032
0.55,5,1,3,61.2,55.0,982
0.34,2,3,7,64.0,57.0,893
0.7,5,2,5,62.1,57.0,2398
0.3,4,7,3,59.7,59.0,709
0.38,5,7,7,60.7,57.0,1270
0.32,5,3,7,62.0,55.0,708
0.31,3,5,5,60.9,56.0,675
0.41,5,5,5,62.7,55.0,1076
0.33,5,6,5,60.0,57.0,802
1.08,5,5,5,62.1,53.0,8321
1.02,4,4,3,61.4,55.0,4273
0.91,3,6,2,60.0,60.0,3438
1.59,5,1,3,62.4,55.0,8325
1.16,5,2,2,62.4,55.0,3800
0.73,5,4,5,61.6,57.0,3033
1.01,5,4,4,62.1,57.0,6734
0.3,5,3,3,62.2,57.0,450
0.32,4,4,5,62.1,58.0,645
2.02,3,4,2,63.1,57.0,12094
0.3,5,3,4,62.3,57.0,491
0.32,4,2,5,62.0,58.0,648
1.24,3,1,2,60.4,61.0,4737
0.4,5,1,3,61.6,56.0,612
1.0,2,4,4,59.1,62.0,6369
0.3,5,6,7,62.0,57.0,844
0.3,3,7,3,63.4,55.0,662
0.83,5,4,7,61.9,56.0,4963
0.25,3,5,6,62.4,55.0,633
0.41,5,6,5,62.0,54.0,1079
0.31,5,4,7,60.7,57.0,816
0.3,4,1,3,62.7,59.0,450
2.07,4,1,4,61.5,59.0,13675
1.01,5,5,5,60.8,57.0,7412
0.5,5,7,4,61.7,56.0,1844
0.31,5,6,4,62.4,53.0,642
0.51,5,5,5,60.2,56.0,1765
2.01,4,2,3,58.9,59.0,13755
1.08,4,5,2,62.6,56.0,4488
1.51,5,1,4,61.5,56.0,8203
1.15,3,2,3,62.5,60.0,4851
0.7,3,4,7,63.3,57.0,3037
1.01,5,4,5,62.1,54.0,7262
1.17,5,3,2,62.4,53.0,5423
1.2,4,5,5,62.3,58.0,8580
0.31,5,3,6,62.6,56.0,802
0.42,4,3,3,62.0,59.0,898
0.54,5,2,7,62.7,57.0,1681
0.9,2,5,3,63.3,60.0,3950
0.41,5,5,2,61.1,57.0,703
0.35,5,6,7,61.3,56.0,916
0.85,3,6,4,60.2,60.0,3871
0.9,3,3,5,62.1,59.0,4309
1.01,3,6,4,59.3,59.0,5760
0.41,5,2,6,62.4,57.0,843
1.51,3,5,5,59.6,63.0,14673
0.55,5,7,4,61.6,57.0,1673
0.91,1,7,4,65.1,63.0,4439
1.53,3,1,4,62.9,59.0,7418
0.31,5,7,4,61.2,55.0,734
0.7,5,4,2,62.6,56.0,2268
0.26,5,4,5,61.4,56.0,456
0.57,3,4,4,63.0,58.0,1617
0.33,5,5,6,60.9,57.0,761
0.71,3,4,3,62.8,55.0,2604
2.01,2,1,5,63.7,59.0,11526
0.59,2,5,3,59.5,62.0,1318
1.53,4,3,6,60.4,60.0,11982
1.03,5,4,3,61.7,56.0,5241
0.71,5,5,4,62.2,56.0,2915
1.56,4,6,4,61.5,58.0,12156
1.23,4,1,5,60.1,60.0,5209
1.33,5,1,5,62.5,58.0,6449
1.22,3,3,2,62.9,59.0,5233
2.1,2,3,3,63.7,61.0,12121
0.4,4,4,6,61.3,59.0,917
1.2,1,1,3,65.2,58.0,4838
0.3,4,5,4,61.5,60.0,776
0.32,5,6,8,61.9,56.0,1170
1.01,4,3,5,61.1,58.0,5416
0.41,5,4,2,62.1,53.6,659
1.12,5,4,5,62.2,56.0,7827
0.31,2,2,3,63.3,53.0,408
0.52,3,5,6,62.9,57.0,2035
0.7,2,6,2,56.9,61.0,1793
0.53,2,5,3,63.8,58.0,1268
0.7,5,5,3,61.4,57.0,2573
1.55,5,4,4,61.6,56.0,14106
0.71,5,6,5,62.3,56.0,3346
0.3,3,4,3,62.5,56.0,432
0.57,5,6,4,61.8,55.0,1949
1.15,3,3,3,62.4,57.0,5270
1.1,4,2,3,62.7,57.0,4805
1.0,4,7,6,58.3,61.0,9274
0.9,4,6,3,60.3,60.0,3917
1.51,3,1,2,63.2,58.0,6171
1.2,4,1,3,60.0,61.0,4717
0.39,5,5,5,60.9,56.0,894
0.35,4,2,5,61.8,58.0,709
2.02,3,3,3,61.1,58.0,18236
1.1,5,1,3,62.2,55.0,4275
0.3,4,4,5,60.8,61.0,725
1.5,2,7,3,63.4,63.0,9718
0.57,5,5,5,61.7,55.0,2039
1.06,5,7,3,62.6,56.0,6426
0.54,4,7,6,59.1,60.0,2323
1.01,4,4,4,58.1,59.0,5538
1.01,3,5,3,62.9,57.0,6075
0.9,2,4,1,63.6,61.0,2226
1.21,4,7,5,62.6,56.0,10706
0.59,5,6,3,62.4,55.0,1789
1.0,1,3,5,64.1,60.0,4732
0.3,4,2,5,60.8,59.0,608
0.38,4,4,5,61.9,56.0,1069
0.71,5,5,4,61.2,56.0,2891
0.51,4,3,2,60.0,62.0,964
0.55,2,6,3,63.1,58.0,1406
0.41,2,5,3,63.5,56.0,705
1.59,5,5,5,62.9,57.0,17366
1.22,3,1,3,58.8,61.0,4969
0.33,4,3,4,61.3,60.0,521
0.7,5,2,7,61.4,55.0,2489
0.31,5,6,4,61.5,56.0,642
0.77,5,1,4,62.5,57.0,2257
0.54,5,7,4,62.6,57.0,1993
1.11,3,2,2,62.6,55.0,4168
0.51,5,4,5,61.7,55.0,1656
0.38,5,5,4,62.0,56.0,1026
0.43,3,6,4,62.2,58.0,869
1.32,3,1,2,61.7,60.0,5513
0.48,3,7,6,59.5,57.0,2329
0.3,5,5,3,62.3,55.0,475
0.32,5,4,5,62.1,55.0,828
0.59,5,7,4,60.9,57.0,2352
0.4,5,6,4,60.9,56.0,904
0.97,3,5,2,59.9,59.0,4063
0.33,5,6,4,61.6,55.0,873
0.6,4,3,3,58.9,61.0,1341
1.04,5,4,5,61.7,56.0,7951
1.19,5,4,7,61.6,59.0,10508
1.0,4,3,4,59.7,58.0,4861
1.01,2,6,2,58.5,61.0,4807
0.32,5,4,4,62.0,57.0,720
0.7,2,6,5,61.3,62.0,3277
0.23,3,5,6,63.3,57.0,505
1.52,5,6,4,62.4,55.0,15488
0.53,5,5,7,61.6,56.0,2922
2.51,3,6,2,63.1,56.0,16717
0.44,5,4,3,62.7,57.0,990
0.3,5,5,7,61.7,56.0,857
1.29,4,2,3,62.1,58.0,6140
1.01,3,5,5,63.7,56.0,7001
1.3,4,1,3,61.9,56.0,5569
1.0,1,4,2,64.6,67.0,3142
0.74,4,6,5,61.2,58.0,3312
0.41,2,4,2,63.7,55.0,570
0.34,5,5,3,59.4,57.0,491
0.31,3,5,3,60.6,60.0,516
0.3,5,6,8,61.1,57.0,957
1.62,4,5,4,61.1,60.0,14961
0.31,2,7,3,63.9,54.0,571
0.3,4,5,4,62.5,58.0,605
0.3,5,6,4,61.6,56.0,658
0.72,5,7,4,61.8,57.0,3099
0.33,4,2,8,62.0,58.0,891
0.43,4,4,7,62.0,59.0,1264
0.93,3,7,3,60.8,60.0,3880
1.57,4,2,2,60.9,58.0,7484
0.68,4,3,3,59.5,59.0,1666
0.41,5,6,3,62.5,57.0,969
0.9,5,3,5,62.0,54.0,5013
1.1,4,3,2,62.2,58.0,4537
0.3,5,4,8,62.1,55.0,956
2.54,3,3,2,63.5,56.0,16353
1.22,4,4,2,61.6,62.0,5226
0.33,4,4,4,62.0,58.0,743
0.34,5,4,8,61.9,54.0,974
0.7,3,3,5,62.8,58.0,2389
0.3,5,5,6,61.7,56.0,694
1.01,2,3,3,64.0,58.0,4191
0.41,2,1,5,63.7,56.0,830
0.33,4,4,5,61.9,59.0,666
0.4,2,7,4,63.5,56.0,786
0.8,5,6,3,62.0,57.0,3297
1.02,5,3,2,61.6,55.0,2856
0.75,1,5,5,55.8,70.0,2859
0.38,4,4,3,60.0,60.0,855
1.1,5,4,4,62.5,54.0,7074
1.23,5,4,7,61.4,55.0,11417
0.4,5,3,7,62.3,54.0,1017
0.9,3,4,4,61.0,60.0,4210
0.61,4,6,4,61.2,62.0,1704
0.33,2,6,3,63.3,56.0,579
2.14,4,4,2,60.7,59.0,13540
0.78,5,7,2,61.3,56.0,2722
0.37,3,5,4,59.2,61.0,696
0.9,4,6,4,62.9,58.0,4334
1.13,5,2,5,61.6,54.0,5813
0.5,3,7,4,60.8,56.0,1758
0.33,3,4,4,62.0,58.0,579
1.5,3,5,6,63.8,59.0,16116
1.06,3,4,5,60.5,56.0,6707
0.38,5,5,6,60.9,58.0,954
0.31,4,4,5,62.1,58.0,542
1.51,3,6,4,62.7,59.0,12779
1.5,4,1,6,61.8,60.0,8603
0.7,2,7,3,58.0,60.0,2525
0.31,5,2,3,62.2,54.0,436
0.41,4,3,3,60.9,60.0,876
0.4,5,5,3,59.8,57.0,916
0.71,2,6,3,61.5,61.0,2573
0.33,3,5,4,61.9,57.0,666
0.9,3,7,3,63.3,57.0,4304
0.3,3,7,4,62.9,61.0,710
1.02,3,3,4,60.2,62.0,5335
2.01,2,3,2,62.2,57.0,14956
0.62,4,4,5,62.9,58.0,1770
0.32,3,6,3,60.4,61.0,524
0.9,1,3,4,65.6,55.0,3375
1.2,2,3,2,64.1,57.0,4704
0.56,3,6,6,60.5,57.0,2442
0.87,5,3,4,62.3,57.0,3372
0.92,5,5,2,62.0,54.0,4065
1.3,4,3,2,60.7,59.0,4368
1.2,2,2,5,57.8,61.0,5570
1.01,4,3,2,61.6,59.0,4166
0.32,4,5,4,61.7,58.0,828
1.04,5,5,3,61.3,56.0,5882
0.46,3,6,3,61.4,62.0,1042
0.53,3,5,3,61.5,59.0,1320
0.59,5,7,5,60.9,56.0,2175
1.13,3,3,2,62.5,62.0,4537
0.3,4,3,5,60.4,61.0,675
0.23,3,6,6,63.0,58.0,498
1.5,4,5,3,62.2,58.0,11613
1.12,2,1,3,63.7,61.0,3880
1.25,4,4,5,60.0,61.0,8736
0.7,2,2,3,63.8,57.0,2034
0.33,5,4,7,62.4,56.0,820
0.25,3,7,6,59.5,56.0,696
1.01,3,7,4,59.8,60.0,7487
0.4,4,4,6,62.7,59.0,1050
0.31,5,7,4,62.9,55.0,942
0.5,5,6,3,60.1,57.0,1410
0.71,3,2,4,59.5,57.0,2111
0.31,5,4,6,61.8,56.0,907
1.05,2,7,3,63.7,59.0,6174
0.84,3,7,3,59.2,59.0,3809
1.01,4,5,2,58.8,62.0,4197
1.03,3,4,1,62.4,57.0,3060
1.0,4,3,3,59.0,60.0,4389
0.41,4,3,6,59.8,60.0,999
0.75,2,6,2,59.7,62.0,2497
1.11,5,6,7,61.3,54.0,12725
1.2,4,1,2,61.8,56.0,4177
0.53,5,6,6,62.0,58.0,2230
1.7,5,3,5,62.4,55.0,13823
1.21,3,2,3,60.6,56.0,5457
0.9,5,4,5,61.8,56.0,4931
0.71,3,7,3,62.4,54.0,2887
0.6,5,7,6,61.9,55.0,3382
0.42,3,6,6,62.1,56.0,1167
0.31,2,6,7,59.0,59.0,826
0.33,4,2,4,62.0,60.0,594
0.52,4,7,4,62.8,58.0,1842
0.81,5,6,2,61.4,57.0,2673
1.01,2,6,2,63.7,55.0,4118
0.55,5,4,2,62.1,56.0,1173
0.9,3,7,3,61.2,60.0,4381
1.5,5,3,5,62.3,54.7,11296
0.32,5,7,5,61.2,55.0,977
2.0,2,7,4,63.7,60.0,17760
1.15,5,4,2,62.3,56.0,4838
0.36,5,6,6,61.0,55.0,1131
0.5,3,5,4,61.5,61.0,1436
0.7,3,6,3,63.9,57.0,3173
0.41,4,7,2,62.3,58.0,683
0.31,5,5,4,62.0,56.0,625
0.31,2,4,5,63.2,57.0,625
0.3,4,7,3,62.5,59.0,520
1.54,1,5,2,64.4,60.0,7848
1.21,4,6,3,63.0,57.0,6261
0.9,2,7,4,57.7,61.0,4717
0.91,4,6,4,61.1,58.0,5055
1.02,3,5,3,62.5,57.0,4948
0.36,5,3,7,61.5,56.0,794
0.36,5,6,6,61.9,55.0,998
1.22,5,2,3,61.7,57.0,5602
0.37,3,4,6,59.1,60.0,844
1.01,3,3,3,58.5,56.0,4619
1.52,5,5,4,62.8,55.0,14038
0.41,5,5,3,61.6,57.0,904
0.53,5,2,5,61.6,57.0,1383
1.63,4,2,5,60.9,58.0,8900
0.52,3,4,2,63.1,56.0,1151
0.87,5,3,2,63.0,57.0,2307
0.8,5,5,2,59.9,59.0,2762
0.5,3,4,6,60.0,56.0,2260
1.44,4,1,2,58.2,58.0,4064
0.71,3,4,2,63.4,56.0,2086
0.53,5,5,4,61.5,55.0,1631
1.08,5,4,3,61.8,56.0,5256
0.9,4,2,4,63.0,58.0,2761
0.37,4,5,4,61.9,59.0,957
